"","ks4score","fiveac","fiveem","k3en","k3ma","k3sc","gender","SECshort","hiquamum","singlepar","house","fsm","parasp","computer","tuition","pupasp","homework","attitude","sen","truancy","absent","exclude","IDACI_n","FSMband"
"4962",438,"yes","no",4,5,4,"Female","Routine,_semi-routine_or_unemployed","Other_qualifications","no","owned","no","Yes","Yes","No","No","5_evenings","very_high","No","No","No","No",0.666707512321771,"35pr+"
"4963",438,"yes","yes",6,8,7,"Male","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.561768716888741,"9pr-13pr"
"4965",438,"yes","yes",5,7,6,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_low","No","No","No","No",0.120977921156504,"21pr-35pr"
"4966",438,"yes","yes",5,7,6,"Male","Managerial_and_professional","HE_below_degree_level","yes","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.554053797910372,"<5pr"
"4967",438,"yes","yes",7,6,6,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","No","3_evenings","very_low","No","No","No","No",-0.25015691722671,"21pr-35pr"
"4968",438,"yes","yes",6,6,6,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","No","No","No",-0.414164890822105,"5pr-9pr"
"4971",438,"yes","yes",7,6,5,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","No","Yes","No","No","2_evenings","low","No","No","No","No",-0.930379150021024,"5pr-9pr"
"4972",438,"yes","yes",5,6,5,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",0.514413102699536,"5pr-9pr"
"4973",438,"yes","no",5,6,5,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","yes","rented","no","Yes","Yes","No","Yes","2_evenings","low","No","Yes","No","Yes",1.09121176228523,"5pr-9pr"
"4976",437.5,"yes","yes",7,7,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","1_evening","very_high","No","No","No","No",-1.91799131343023,"5pr-9pr"
"4978",437.25,"yes","yes",6,6,7,"Male","Managerial_and_professional","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-0.13662032425481,"21pr-35pr"
"4980",437,"yes","yes",5,7,6,"Female","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-0.221608386072914,"13pr-21pr"
"4981",437,"yes","yes",6,6,6,"Female","Managerial_and_professional","HE_below_degree_level","yes","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.900740764435591,"35pr+"
"4982",437,"yes","yes",5,5,6,"Female","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",0.621865214992825,"21pr-35pr"
"4983",437,"yes","yes",6,6,5,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","2_evenings","low","No","Yes","No","No",0.240237081454271,"<5pr"
"4984",437,"yes","yes",6,5,5,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","Yes","Yes","4_evenings","high","No","No","No","No",0.813548510623582,"21pr-35pr"
"4985",437,"yes","no",5,5,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","No","No","No",-0.404130925482684,"<5pr"
"4986",437,"yes","yes",5,6,4,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","no","Yes","Yes","No","No","2_evenings","high","No","No","No","No",0.733496032473613,"35pr+"
"4988",437,"yes","yes",5,6,7,"Male","Intermediate","HE_below_degree_level","yes","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",0.604105711153326,"13pr-21pr"
"4989",437,"yes","yes",6,7,6,"Male","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",0.903369690720944,"21pr-35pr"
"4990",437,"yes","yes",6,7,6,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","Yes","missing","No",-0.318759680569987,"<5pr"
"4991",437,"yes","yes",5,6,6,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-1.01756462866528,"9pr-13pr"
"4992",437,"yes","yes",6,6,5,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","yes","rented","yes","No","Yes","No","Yes","3_evenings","low","No","No","No","No",0.056593112757662,"9pr-13pr"
"4993",437,"yes","yes",6,6,5,"Male","Intermediate","GCSE_grades_A-C_or_equiv","yes","owned","no","No","No","No","No","missing","high","No","No","No","No",-0.040822554851408,"9pr-13pr"
"4994",437,"yes","yes",5,6,5,"Male","Routine,_semi-routine_or_unemployed","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",1.25411411672352,"9pr-13pr"
"4996",436.75,"yes","yes",5,7,5,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","1_evening","low","No","No","No","No",0.395599557803831,"21pr-35pr"
"4997",436.5,"yes","yes",5,7,6,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-1.5251582180767,"<5pr"
"4999",436.5,"yes","yes",6,7,5,"Female","Intermediate","GCSE_grades_A-C_or_equiv","yes","owned","no","Yes","Yes","No","Yes","5_evenings","very_low","No","No","No","No",0.084347630695438,"<5pr"
"5000",436.5,"no","no",5,5,5,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","missing","very_low","No","Yes","No","No",-0.946566750508398,"<5pr"
"5001",436.25,"yes","yes",6,5,5,"Female","Routine,_semi-routine_or_unemployed","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.159382527463584,"5pr-9pr"
"5003",436.25,"yes","yes",6,6,5,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","No","Yes","No","Yes","3_evenings","high","No","No","No","No",-1.06503718785223,"9pr-13pr"
