ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
740,yes,yes,6,8,7,Female,Managerial_and_professional,missing,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,-1.95481091655672,<5pr
739,yes,yes,7,7,6,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,0.526711304529882,21pr-35pr
738,yes,yes,6,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.107765276937475,9pr-13pr
734,yes,yes,5,8,6,Female,missing,GCSE_grades_A-C_or_equiv,yes,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,0.659570991881672,<5pr
734,yes,yes,7,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-0.342201511482685,13pr-21pr
734,yes,no,5,6,4,Male,"Routine,_semi-routine_or_unemployed",No_qualification,yes,rented,no,Yes,Yes,No,Yes,2_evenings,low,No,Yes,No,No,0.891114701103261,35pr+
733,yes,yes,6,7,6,Male,Intermediate,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_high,No,No,No,No,-0.491571409497829,9pr-13pr
732,yes,yes,6,8,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.991866779345527,5pr-9pr
730,yes,yes,7,7,6,Male,"Routine,_semi-routine_or_unemployed",HE_below_degree_level,yes,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.495795022423144,5pr-9pr
728,yes,yes,7,8,7,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-0.032861729536653,<5pr
728,yes,yes,7,7,7,Female,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-0.610131892196696,5pr-9pr
728,yes,yes,6,6,6,Female,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,1.26696764341684,13pr-21pr
728,yes,yes,7,7,7,Male,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,0.003898157529673,21pr-35pr
728,yes,yes,7,6,7,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,0.006603032788866,5pr-9pr
726.5,yes,yes,7,8,7,Female,Managerial_and_professional,missing,no,owned,no,Yes,Yes,No,Yes,1_evening,high,No,No,No,No,-0.431563948806381,9pr-13pr
726,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-1.81999856317266,<5pr
726,yes,yes,7,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,0.010262650507128,<5pr
726,yes,yes,6,7,6,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.60644049892552,5pr-9pr
726,yes,yes,6,6,6,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,1_evening,low,No,No,No,No,-0.290924081449034,13pr-21pr
724.5,yes,yes,7,7,7,Male,Intermediate,missing,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,missing,missing,0.413471564492437,21pr-35pr
724,yes,yes,7,7,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-1.71398105334794,<5pr
723.25,yes,yes,7,7,7,Female,Managerial_and_professional,HE_below_degree_level,yes,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,0.507523865415732,35pr+
723,yes,yes,7,8,7,Female,missing,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,Yes,No,0.511418743082803,13pr-21pr
722.25,yes,yes,7,7,7,Female,Intermediate,No_qualification,yes,rented,yes,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,0.259607716228143,13pr-21pr
722,yes,yes,7,7,7,Female,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.213136947236418,13pr-21pr
